id,name,year,group,group_name,status,birth_date,birth_place,gender,alma_mater,undergraduate_major,graduate_major,military_rank,military_force,space_flights_number_of,space_flight_total_hours,space_walks_number_of,space_walks_total_hours,missions,death_date,death_mission
15,John W. Young,1962,2,The Next Nine,Deceased,9/24/1930,"San Francisco, CA",Male,Georgia Institute of Technology,Aeronautical Engineering,,Captain,US Navy (Retired),6,835,3,20,"Gemini 3, Gemini 10, Apollo 10, Apollo 16, STS-1 (Columbia), STS-9 (Columbia)",1/5/2018,
140,James A. McDivitt,1984,2,The Next Nine,Retired,6/10/1929,"Chicago, IL",Male,University of Michigan,Astronautical Engineering,,Brigadier General,US Air Force (Retired),2,338,0,0,"Gemini 4, Apollo 9",,
16,Buzz Aldrin,1963,3,The Fourteen,Retired,1/20/1930,"Montclair, NJ",Male,US Military Academy; MIT,Mechanical Engineering,Astronautics,Colonel,US Air Force (Retired),2,289,2,8,"Gemini 12, Apollo 11",,
17,William A. Anders,1963,3,The Fourteen,Retired,10/17/1933,Hong Kong,Male,US Naval Academy; Air Force Institute of Technology,Nuclear Engineering,Nuclear Engineering,Major General,US Air Force Reserves (Retired),1,147,0,0,Apollo 8,,
18,Charles A. Bassett II ,1963,3,The Fourteen,Deceased,12/30/1931,"Dayton, OH",Male,Texas Technological College,Electrical Engineering,,Captain,US Air Force,0,0,0,0,,2/28/1966,
19,Alan L. Bean,1963,3,The Fourteen,Deceased,3/15/1932,"Wheeler, TX",Male,University of Texas,Aeronautical Engineering,,Captain,US Navy (Retired),2,1671,3,10,"Apollo 12, Skylab 3",5/26/2018,
20,Eugene A. Cernan,1963,3,The Fourteen,Deceased,3/14/1934,"Chicago, IL",Male,Purdue University; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,566,4,24,"Gemini 9, Apollo 10, Apollo 17",1/16/2017,
21,Roger B. Chaffee,1963,3,The Fourteen,Deceased,2/15/1935,"Grand Rapids, MI",Male,Purdue University,Aeronautical Engineering,,Lieutenant Commander,US Navy,1,0,0,0,Apollo 1,1/27/1967,Apollo 1
22,Michael Collins,1963,3,The Fourteen,Retired,10/31/1930,"Rome, Italy",Male,US Military Academy,,,,US Air Force Reserves,2,266,1,1,"Gemini 10, Apollo 11",,
23,Walter Cunningham,1963,3,The Fourteen,Retired,3/16/1932,"Creston, IA",Male,University of California-Los Angeles,Physics,Physics,Colonel,US Marine Corps Reserves,1,260,0,0,Apollo 7,,
24,Donn F. Eisele,1963,3,The Fourteen,Deceased,5/23/1930,"Columbus, OH",Male,US Naval Academy; US Air Force Institute of Technology,Astronautics,Astronautics,Colonel,US Air Force (Retired),1,260,0,0,Apollo 7,12/2/1987,
25,Theodore C. Freeman,1963,3,The Fourteen,Deceased,2/18/1930,"Haversford, PA",Male,US Naval Academy; University of Michigan,,Aeronautical Engineering,Captain,US Air Force,0,0,0,0,,10/31/1964,
26,Richard F. Gordon Jr. ,1963,3,The Fourteen,Deceased,10/5/1929,"Seattle, WA",Male,University of Washington,Chemistry,,Captain,US Navy (Retired),2,315,1,0.5,"Gemini 11, Apollo 12",11/6/2017,
27,Russell L. Schweickart,1963,3,The Fourteen,Retired,10/25/1935,"Neptune, NJ",Male,MIT,Aeronautics & Astronautics,Aeronautics & Astronautics,,,1,241,1,1,Apollo 9,,
28,David R. Scott,1963,3,The Fourteen,Retired,6/6/1932,"San Antonio, TX",Male,US Military Academy; MIT,,Aeronautics & Astronautics,Colonel,US Air Force (Retired),3,546,4,19,"Gemini 8, Apollo 9, Apollo 15",,
29,Clifton C. Williams Jr. ,1963,3,The Fourteen,Deceased,9/26/1932,"Mobile, AL",Male,Auburn University,Mechanical Engineering,,Major,US Marine Corps,0,0,0,0,,10/5/1967,
30,Owen K. Garriott,1965,4,The Scientists,Deceased,11/22/1930,"Enid, OK",Male,University of Oklahoma; Stanford University,Electrical Engineering,Electrical Engineering,,,2,1674,3,14,"Skylab 3, STS-9 (Columbia)",4/15/2019,
31,Edward G. Gibson,1965,4,The Scientists,Retired,11/8/1936,"Buffalo, NY",Male,University of Rochester; California Institute of Technology,Engineering,Engineering,,,1,2017,3,15,Skylab 4,,
32,Duane E. Graveline,1965,4,The Scientists,Deceased,3/2/1931,"Newport, VT",Male,University of Vermont; Johns Hopkins University,,Public Health; Medicine,,,0,0,0,0,,9/5/2016,
33,Joseph P. Kerwin,1965,4,The Scientists,Retired,2/19/1932,"Oak Park, IL",Male,College of the Holy Cross; Northwestern University,Philosophy,Medicine,Captain,US Navy (Retired),1,672,1,3,Skylab 2,,
34,F. Curtis Michel,1965,4,The Scientists,Deceased,6/5/1934,"LaCrosse, WI",Male,California Institute of Technology,Physics,Physics,,,0,0,0,0,,2/23/2015,
35,Harrison H. Schmitt,1965,4,The Scientists,Retired,7/3/1935,"Santa Rita, NM",Male,California Institute of Technology; Harvard University,Geology,Geology,,,1,301,3,22,Apollo 17,,
36,Vance D. Brand,1966,5,The Original Nineteen,Retired,5/9/1931,"Longmont, CA",Male,University of Colorado; University of California Los Angeles,Business Management; Aeronautical Engineering,Business Administration,,US Marine Corps Reserves,4,752,0,0,"Apollo-Soyuz Test Project, STS-5 (Columbia), STS 41-B (Challenger), STS-35 (Columbia)",,
37,John S. Bull,1966,5,The Original Nineteen,Deceased,9/25/1934,"Memphis, TN",Male,Rice University; Stanford University,Mechanical Engineering,Aeronautical Engineering,,,0,0,0,0,,8/11/2008,
38,Gerald P. Carr,1966,5,The Original Nineteen,Retired,8/22/1932,"Denver, CO",Male,University of Southern California; US Naval Postgraduate School; Princeton University,Mechanical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),1,2017,3,16,Skylab 4,,
39,Charles M. Duke Jr. ,1966,5,The Original Nineteen,Retired,10/3/1935,"Charlotte, NC",Male,US Naval Academy; MIT,Naval Sciences,Aeronautics,Brigadier General,US Air Force (Retired),1,265,3,20,Apollo 16,,
40,Joe H. Engle,1966,5,The Original Nineteen,Retired,8/26/1932,"Dickinson, KS",Male,University of Kansas,Aeronautical Engineering,,Major General,US Air Force (Retired),2,224,0,0,"STS-2 (Columbia), STS 51-I (Discovery)",,
41,Ronald E. Evans Jr. ,1966,5,The Original Nineteen,Deceased,11/10/1933,"St. Francis, KS",Male,University of Kansas; US Naval Postgraduate School,Electrical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,301,1,1,Apollo 17,4/6/1990,
42,Edward G. Givens Jr. ,1966,5,The Original Nineteen,Deceased,1/5/1930,"Quanah, TX",Male,US Naval Academy,Naval Sciences,,Major,US Air Force,0,0,0,0,,6/6/1967,
43,Fred W. Haise Jr. ,1966,5,The Original Nineteen,Retired,11/14/1933,"Biloxi, MS",Male,University of Oklahoma,Aeronautical Engineering,,,,1,142,0,0,Apollo 13,,
44,James B. Irwin,1966,5,The Original Nineteen,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy; University of Michigan,Naval Sciences,Aeronautical Engineering,Colonel,US Air Force (Retired),1,295,3,20,Apollo 15,8/8/1991,
45,Don L. Lind,1966,5,The Original Nineteen,Retired,5/18/1930,"Midvale, UT",Male,University of Utah; University of California-Berkeley,Physics,Nuclear Physics,,,1,168,0,0,STS 51-B (Challenger),,
46,Jack R. Lousma,1966,5,The Original Nineteen,Retired,2/29/1936,"Grand Rapids, MI",Male,University of Michigan; US Naval Postgraduate School,Aeronautical Engineering,Aeronautical Engineering,Colonel,US Marine Corps (Retired),2,1619,2,11,"Skylab 3, STS-3 (Columbia)",,
