id,name,year,group,group_name,status,birth_date,birth_place,gender,alma_mater,undergraduate_major,graduate_major,military_rank,military_force,space_flights_number_of,space_flight_total_hours,space_walks_number_of,space_walks_total_hours,missions,death_date,death_mission
176,Kenneth D. Cockrell,1990,13,The Hairballs,Retired,4/9/1950,"Austin, TX",Male,University of Texas; University of West Florida,Mechanical Engineering,Aeronautical Systems,,US Naval Reserves,5,1548,0,0,"STS-56 (Discovery), STS-69 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis), STS-111 (Endeavor)",,
177,Eileen M. Collins,1990,13,The Hairballs,Retired,11/19/1959,"Elmira, NY",Female,Syracuse University; Stanford University; Webster University,Mathematics & Economics,Operations Research; Space Systems Management,Colonel,US Air Force (Retired),4,890,0,0,"STS-63 (Discovery), STS-84 (Atlantis), STS-114 (Columbia), STS-93 (Discovery)",,
178,Nancy J. Currie,1990,13,The Hairballs,Retired,12/29/1958,"Wilmington, DE",Female,Ohio State University; University of Southern California; University of Houston,Biological Science,Safety Engineering; Industrial Engineering,Colonel,US Army (Retired),4,999,0,0,"STS-57 (Endeavor), STS-70 (Discovery), STS-88 (Endeavor), STS-109 (Columbia)",,
179,William G. Gregory,1990,13,The Hairballs,Retired,5/14/1957,"Lockport, NY",Male,US Air Force Academy; Columbia University; Troy State University,Engineering Science,Engineering Mechanics; Business Management,Lieutenant Colonel,US Air Force,1,399,0,0,STS-67 (Endeavor),,
180,James D. Halsell Jr. ,1990,13,The Hairballs,Retired,9/29/1956,"Monroe, LA",Male,US Air Force Academy; Troy State University; US Air Force Institute of Technology,Engineering,Business Management; Space Operations,Colonel,US Air Force (Retired),5,1258,0,0,"STS-65 (Columbia), STS-74 (Atlantis), STS-83 (Columbia), STS-94 (Columbia), STS-101 (Atlantis)",,
181,Bernard A. Harris Jr. ,1990,13,The Hairballs,Retired,6/26/1956,"Temple, TX",Male,University of Houston; Texas Tech University,Biology,Medicine,,,2,438,1,5,"STS-55 (Columbia), STS-63 (Discovery)",,
182,Susan J. Helms,1990,13,The Hairballs,Retired,2/26/1958,"Charlotte, NC",Female,US Air Force Academy; Stanford University,Aeronautical Engineering,Aeronautics & Astronautics,Lieutenant General,US Air Force,5,5063,1,9,"STS-54 (Endeavor), STS-64 (Discovery), STS-78 (Columbia), STS-101 (Atlantis), STS-102/105 (Discovery)",,
183,Thomas D. Jones,1990,13,The Hairballs,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy; University of Arizona,,Planetary Science,,,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)",,
184,William S. McArthur Jr. ,1990,13,The Hairballs,Retired,7/26/1951,"Laurinburg, NC",Male,US Military Academy; Georgia Institute of Technology,Applied Science & Engineering,Aerospace Engineering,Colonel,US Army (Retired),4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)",,
185,James H. Newman,1990,13,The Hairballs,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College; Rice University,Physics,Physics,,,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)",,
186,Ellen Ochoa,1990,13,The Hairballs,Retired,5/10/1958,"Los Angeles, CA",Female,San Diego State University; Stanford University,Physics,Electrical Engineering,,,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)",,
187,Charles J. Precourt,1990,13,The Hairballs,Retired,6/29/1955,"Waltham, MA",Male,US Air Force Academy; Golden Gate University; US Naval War College,Aeronautical Engineering,Engineering Management; Strategic Studies,Colonel,US Air Force (Retired),4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)",,
188,Richard A. Searfoss,1990,13,The Hairballs,Deceased,6/5/1956,"Mount Clemens, MI",Male,US Air Force Academy; California Institute of Technology,Aeronautical Engineering,Aeronautics,Colonel,US Air Force (Retired),3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)",9/29/2018,
189,Ronald M. Sega,1990,13,The Hairballs,Retired,12/4/1952,"Cleveland, OH",Male,US Air Force Academy; Ohio State University; University of Colorado,Physics & Mathematics,Physics; Electrical Engineering,Colonel,US Air Force Reserves (Retired),2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)",,
190,Donald A. Thomas,1990,13,The Hairballs,Retired,5/6/1955,"Cleveland, OH",Male,Case Western Reserve University; Cornell University,Physics,Materials Science,,,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)",,
191,Janice E. Voss,1990,13,The Hairballs,Deceased,10/8/1956,"South Bend, IN",Female,Purdue University; MIT,Engineering Science,Electrical Engineering; Aeronautics & Astronautics,,,5,1179,0,0,"STS-57 (Endeavor), STS-63 (Discovery), STS-83 (Columbia), STS-94 (Columbia), STS-99 (Endeavor)",2/6/2012,
192,Carl E. Walz,1990,13,The Hairballs,Retired,9/6/1955,"Cleveland, OH",Male,Kent State University; John Carroll University,Physics,Solid State Physics,Colonel,US Air Force,4,5533,3,19,"STS-51 (Discovery), STS-65 (Columbia), STS-79 (Atlantis), STS-108/111 (Endeavor)",,
193,Terrence W. Wilcutt,1990,13,The Hairballs,Management,10/31/1949,"Russellville, KY",Male,Western Kentucky University,Mathematics,,,,4,1008,0,0,"STS-68 (Endeavor), STS-79 (Atlantis), STS-89 (Endeavor), STS-106 (Atlantis)",,
194,Peter J. K. Wisoff,1990,13,The Hairballs,Retired,8/16/1958,"Norfolk, VA",Male,University of Virginia; Stanford University,Physics,Applied Physics,,,4,1064,3,20,"STS-57 (Endeavor), STS-68 (Endeavor), STS-81 (Atlantis), STS-92 (Discovery)",,
195,David A. Wolf,1990,13,The Hairballs,Retired,8/23/1956,"Indianapolis, IN",Male,Purdue University; Indiana University,Electrical Engineering,Medicine,,,3,4044,7,41,"STS-58 (Columbia). STS-86/89 (Atlantis/Endeavor), STS-112 (Atlantis), STS-127 (Endeavor)",,
196,Daniel T. Barry,1992,14,The Hogs,Retired,12/30/1953,"Norwalk, CT",Male,Cornell University; Princeton University; University of Miami,Electrical Engineering,Electrical Engineering; Computer Science; Medicine,,,3,733,4,26,"STS-72 (Endeavor), STS-96 (Discovery), STS-105 (Discovery)",,
197,Charles E. Brady Jr. ,1992,14,The Hogs,Deceased,8/12/1951,"Pinehurst, NC",Male,University of North Carolina at Chapel Hill; Duke University,,Medicine,Captain,US Navy,1,405,0,0,STS-78 (Columbia),7/23/2006,
198,Catherine G. Coleman,1992,14,The Hogs,Retired,12/14/1960,"Charleston, SC",Female,MIT; University of Massachusetts,Chemistry,Polymer Science & Engineering,Colonel,US Air Force (Retired),3,4324,0,0,"STS-73 (Columbia), STS-93 (Columbia), ISS-26/27 (Soyuz)",,
199,Michael L. Gernhardt,1992,14,The Hogs,Management,5/4/1956,"Mansfield, OH",Male,Vanderbilt University; University of Pennsylvania,Physics,Bioengineering,,,4,1039,4,23,"STS-69 (Endeavor), STS-83 (Columbia), STS-94 (Columbia), STS-104 (Atlantis)",,
200,John M. Grunsfeld,1992,14,The Hogs,Retired,10/10/1958,"Chicago, IL",Male,MIT; University of Chicago,Physics,Physics,,,5,1407,8,58,"STS-67 (Endeavor), STS-81 (Atlantis), STS-103 (Discovery), STS-125 (Atlantis), STS-109 (Columbia)",,
201,Scott J. Horowitz,1992,14,The Hogs,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge; Georgia Institute of Technology,Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)",,
202,Brent W. Jett,1992,14,The Hogs,Retired,10/5/1958,"Pontiac, MI",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)",,
203,Kevin R. Kregel,1992,14,The Hogs,Retired,9/16/1956,"New York, NY",Male,US Air Force Academy; Troy State University,Astronautical Engineering,Public Administration,,,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)",,
204,Wendy B. Lawrence,1992,14,The Hogs,Retired,7/2/1959,"Jacksonville, FL",Female,US Naval Academy; MIT,Ocean Engineering,Ocean Engineering,Captain,US Navy (Retired),4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)",,
205,Jerry M. Linenger,1992,14,The Hogs,Retired,1/16/1955,"Mount Clemens, MI",Male,US Naval Academy; University of Southern California; University of North Carolina; Wayne State University,Bioscience,Systems Management; Public Health; Medicine; Epidemiology,Captain,US Navy (Retired),2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)",,
206,Richard M. Linnehan,1992,14,The Hogs,Management,9/19/1957,"Lowell, MA",Male,University of New Hampshire; Ohio State University; Harvard University,Animal Science,Veterinary Medicine; Public Administration,,,4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)",,
207,Michael E. Lopez-Alegria,1992,14,The Hogs,Retired,5/30/1958,"Madrid, Spain",Male,US Naval Academy; US Naval Postgraduate School,Systems Engineering,Aeronautical Engineering,Captain,US Navy (Retired),3,6190,10,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)",,
208,Scott E. Parazynski,1992,14,The Hogs,Retired,7/28/1961,"Little Rock, AR",Male,Stanford University,Biology,Medicine,,,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)",,
209,Kent V. Rominger,1992,14,The Hogs,Retired,8/7/1956,"Del Norte, CO",Male,Colorado State University; US Naval Postgraduate School,Civil Engineering,Aeronautical Engineering,Captain,US Navy (Retired),5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)",,
210,Winston E. Scott,1992,14,The Hogs,Retired,8/6/1950,"Miami, FL",Male,Florida State University; US Naval Postgraduate School,Music,Aeronautical Engineering,Captain,US Navy (Retired),2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)",,
211,Steven L. Smith,1992,14,The Hogs,Retired,12/30/1958,"Phoenix, AZ",Male,Stanford University,Electrical Engineering,Electrical Engineering,,,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)",,
212,Joseph R. Tanner,1992,14,The Hogs,Retired,1/21/1950,"Danville, IL",Male,University of Illinois,Mechanical Engineering,,,,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)",,
213,Andrew S. W. Thomas,1992,14,The Hogs,Retired,12/18/1951,"Adelaide, Australia",Male,University of Adelaide,Mechanical Engineering,Mechanical Engineering,,,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)",,
214,Mary E. Weber,1992,14,The Hogs,Retired,8/24/1962,"Cleveland, OH",Female,Purdue University; University of California-Berkeley,Chemical Engineering,Physical Chemistry,,,2,450,0,0,"STS-70 (Discovery), STS-101 (Atlantis)",,
215,Scott D. Altman,1995,15,The Flying Escargot,Retired,8/15/1959,"Lincoln, IL",Male,University of Illinois; US Naval Postgraduate School,Aeronautical & Astronautical Engineering,Aeronautical Engineering,Captain,US Navy (Retired),4,1236,0,0,"STS-90 (Columbia), STS-106 (Atlantis), STS-109 (Columbia), STS-125 (Atlantis)",,
216,Michael P. Anderson,1995,15,The Flying Escargot,Deceased,12/25/1959,"Plattsburgh, NY",Male,University of Washington; Creighton University,Physics & Astronomy,Physics,Lieutenant Colonel,US Air Force,2,594,0,0,"STS-89 (Endeavor), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
217,Jeffrey S. Ashby,1995,15,The Flying Escargot,Retired,6/1/1954,"Dallas, TX",Male,University of Idaho; University of Tennessee,Mechanical Engineering,Aviation Systems,Captain,US Navy (Retired),3,655,0,0,"STS-93 (Columbia), STS-100 (Endeavor), STS-112 (Atlantis)",,
218,Michael J. Bloomfield,1995,15,The Flying Escargot,Retired,3/16/1959,"Flint, MI",Male,US Air Force Academy; Old Dominion University,Engineering Mechanics,Engineering Management,Colonel,US Air Force (Retired),3,779,0,0,"STS-86 (Atlantis), STS-97 (Endeavor), STS-110 (Atlantis)",,
219,Kalpana Chawla,1995,15,The Flying Escargot,Deceased,6/1/1961,"Karnal, India",Female,Punjab Engineering College; University of Texas-Arlington; University of Colorado,Aeronautical Engineering,Aerospace Engineering,,,2,734,0,0,"STS-87 (Columbia), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
220,Robert L. Curbeam Jr. ,1995,15,The Flying Escargot,Retired,3/5/1962,"Baltimore, MD",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aerospace Engineering; Aeronautical & Astronautical Engineering,Captain,US Navy (Retired),3,902,7,45,"STS-85 (Discovery), STS-98 (Atlantis), STS-116 (Discovery)",,
221,Joe F. Edwards Jr. ,1995,15,The Flying Escargot,Retired,2/3/1958,"Richmond, VA",Male,US Naval Academy; University of Tennessee-Knoxville,Aerospace Engineering,Aviation Systems,Commander,US Navy (Retired),1,211,0,0,STS-89 (Endeavor),,
222,Dominic L. Gorie,1995,15,The Flying Escargot,Retired,5/2/1957,"Lake Charles, LA",Male,US Naval Academy; University of Tennessee,Ocean Engineering,Aviation Systems,Captain,US Navy (Retired),4,1167,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-123 (Endeavor), STS-108 (Endeavor)",,
223,Kathryn P. Hire,1995,15,The Flying Escargot,Retired,8/26/1959,"Mobile, AL",Female,US Naval Academy; Florida State Institute of Technology,Engineering Management,Space Technology,Captain,US Naval Reserves,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)",,
224,Rick D. Husband,1995,15,The Flying Escargot,Deceased,7/12/1957,"Amarillo, TX",Male,Texas Tech University; California State University,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)",2/1/2003,STS-107 (Columbia)
225,Janet L. Kavandi,1995,15,The Flying Escargot,Retired,7/17/1959,"Springfield, MO",Female,Missouri Southern State College; University of Missouri; University of Washington,Chemistry,Chemistry,,,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)",,
226,Susan L. Kilrain (Still),1995,15,The Flying Escargot,Retired,10/24/1961,"Augusta, GA",Female,Embry-Riddle University; Georgia Institute of Technology,Astronautical Engineering,Aerospace Engineering,Commander,US Navy (Retired),2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)",,
227,Steven W. Lindsey,1995,15,The Flying Escargot,Retired,8/24/1960,"Arcadia, CA",Male,US Air Force Academy; US Air Force Institute of Technology,Engineering Science,Aeronautical Engineering,Colonel,US Air Force (Retired),5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)",,
228,Edward T. Lu,1995,15,The Flying Escargot,Retired,7/1/1963,"Springfield, MA",Male,Cornell University; Stanford University,Electrical Engineering,Applied Physics,,,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)",,
229,Pamela A. Melroy,1995,15,The Flying Escargot,Retired,9/17/1961,"Palo Alto, CA",Female,Wellesley College; MIT,Physics & Astronomy,Earth & Planetary Sciences,Colonel,US Air Force (Retired),3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)",,
230,Carlos I. Noriega,1995,15,The Flying Escargot,Retired,10/8/1959,"Lima, Peru",Male,University of Southern California; US Naval Postgraduate School,Computer Science,Computer Science; Space Systems Operations,Lieutenant Colonel,US Marine Corps (Retired),2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)",,
231,James F. Reilly II ,1995,15,The Flying Escargot,Retired,3/18/1954,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,Geosciences,Geosciences,,,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)",,
232,Stephen K. Robinson,1995,15,The Flying Escargot,Retired,10/26/1955,"Sacramento, CA",Male,University of California-Davis; Stanford University,Mechanical & Aeronautical Engineering,Mechanical  Engineering,,,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)",,
233,Frederick W. Sturckow,1995,15,The Flying Escargot,Retired,8/11/1961,"La Mesa, CA",Male,California Polytechnic State University,Mechanical Engineering,,Colonel,US Marine Corps (Retired),4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
234,David M. Brown,1996,16,The Sardines,Deceased,4/16/1956,"Arlington, VA",Male,College of William & Mary; Eastern Virginia Medical School,Biology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
235,Daniel C. Burbank,1996,16,The Sardines,Retired,7/27/1961,"Machester, CT",Male,US Coast Guard Academy; Embry-Riddle Aeronautical University,Electrical Engineering,Aeronautical Science,Captain,US Coast Guard (Retired),3,4512,1,7,"STS-106 (Atlantis), STS-115 (Atlantis), ISS-29/30 (Soyuz)",,
236,Yvonne D. Cagle,1996,16,The Sardines,Management,4/24/1959,"West Point, NY",Female,San Francisco State University,Biochemistry,,Colonel,US Air Force,0,0,0,0,,,
237,Fernando Caldeiro,1996,16,The Sardines,Deceased,6/12/1958,"Buenos Aires, Argentina",Male,University of Arizona; University of Central Florida,Mechanical Engineering,Engineering Management,,,0,0,0,0,,10/3/2009,
238,Charles J. Camarda,1996,16,The Sardines,Management,5/8/1952,"Queens, NY",Male,Polytechnic Institute of Brooklyn; George Washington University; Virginia Polytechnic Institute,Aerospace Engineering,Engineering Science; Aerospace Engineering,,,1,333,0,0,STS-114 (Discovery),,
239,Duane G. Carey,1996,16,The Sardines,Retired,4/30/1957,"St. Paul, MN",Male,University of Minnesota-Minneapolis,Aerospace Engineering & Mechanics,Aerospace Engineering,Lieutenant Colonel,US Air Force (Retired),1,262,0,0,STS-109 (Columbia),,
240,Laurel B. Clark,1996,16,The Sardines,Deceased,3/10/1961,"Ames, IA",Female,University of Wisconsin-Madison,Zoology,Medicine,Captain,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
241,E. Michael Fincke,1996,16,The Sardines,Active,3/14/1967,"Pittsburgh, PA",Male,MIT; Stanford University; University of Houston-Clear Lake,"Aeronautics & Astronautics; Earth, Atmospheric & Planetary Sciences",Aeronautics & Astronautics; Physical Sciences,Colonel,US Air Force,3,9159,9,48,"ISS-09 (Soyuz), ISS-18 (Soyuz), STS-134 (Endeavor)",,
242,Patrick G. Forrester,1996,16,The Sardines,Management,3/31/1957,"El Paso, TX",Male,US Military Academy; University of Virginia,Applied Science & Engineering,Mechanical & Aerospace Engineering,Colonel,US Army (Retired),3,950,4,25,"STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)",,
243,Stephen N. Frick,1996,16,The Sardines,Retired,9/30/1961,"Pittsburgh, PA",Male,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),2,566,0,0,"STS-110 (Atlantis), STS-122 (Atlantis)",,
244,John B. Herrington,1996,16,The Sardines,Retired,9/14/1958,"Wetumka, OK",Male,University of Colorado; US Naval Postgraduate School,Applied Mathematics,Aeronautical Engineering,Commander,US Navy (Retired),1,330,3,20,STS-113 (Endeavor),,
245,Joan E. Higginbotham,1996,16,The Sardines,Retired,8/3/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale; Florida Institute of Technology,Electrical Engineering,Business Management; Space Systems,,,1,308,0,0,STS-116 (Discovery),,
246,Charles O. Hobaugh,1996,16,The Sardines,Retired,11/5/1961,"Bar Harbor, ME",Male,US Naval Academy,Aerospace Engineering,,Colonel,US Marine Corps (Retired),3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)",,
247,James M. Kelly,1996,16,The Sardines,Management,5/14/1964,"Burlington, IA",Male,US Air Force Academy; University of Alabama,Astronautical Engineering,Aerospace Engineering,Colonel,US Air Force (Retired),2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)",,
248,Mark E. Kelly,1996,16,The Sardines,Retired,2/21/1964,"Orange, NJ",Male,US Merchant Marine Academy; US Naval Postgraduate School,Marine Engineering & Nautical Science,Aeronautical Engineering,Captain,US Navy (Retired),4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)",,
249,Scott J. Kelly,1996,16,The Sardines,Retired,2/21/1964,"Orange, NJ",Male,State University of New York Maritime College; University of Tennessee-Knoxville,Electrical Engineering,Aviation Systems,Captain,US Navy (Retired),4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)",,
250,Paul S. Lockhart,1996,16,The Sardines,Retired,4/28/1956,"Amarillo, TX",Male,Texas Tech University; University of Texas,Mathematics,Aerospace Engineering,Colonel,US Air Force (Retired),2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)",,
251,Christopher J. Loria,1996,16,The Sardines,Retired,7/9/1960,"Belmont, MA",Male,US Naval Academy; Harvard University,Engineering,Public Administration,Colonel,US Marine Corps (Retired),0,0,0,0,,,
252,Sandra H. Magnus,1996,16,The Sardines,Retired,10/30/1964,"Belleville, IL",Female,University of Missouri-Rolla; Georgia Institute of Technology,Physics,Electrical Engineering; Materials Science & Engineering,,,3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)",,
253,Michael J. Massimino,1996,16,The Sardines,Retired,8/19/1962,"Oceanside, NY",Male,Columbia University; MIT,Industrial Engineering,Technology & Policy; Mechanical Engineering,,,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)",,
254,Richard A. Mastracchio,1996,16,The Sardines,Retired,2/11/1960,"Waterbury, CT",Male,University of Connecticut; Rensselaer Polytechnic Institute; University of Houston-Clear Lake,Electrical Engineering; Computer Science,Electrical Engineering; Physical Sciences,,,4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)",,
255,William C. McCool,1996,16,The Sardines,Deceased,9/23/1961,"San Diego, CA",Male,US Naval Academy; University of Maryland; US Naval Postgraduate School,Naval Sciences,Computer Science; Aeronautical Engineering,Commander,US Navy,1,382,0,0,STS-107 (Columbia),2/1/2003,STS-107 (Columbia)
256,Lee M. Morin,1996,16,The Sardines,Management,9/9/1952,"Manchester, NH",Male,University of New Hampshire; University of Alabama-Birmingham; New York University,Mathematical & Electrical Science,Public Health; Biochemistry; Medicine; Microbiology,Captain,US Navy,1,259,2,14,STS-110 (Atlantis),,
257,Lisa M. Nowak,1996,16,The Sardines,Retired,5/10/1963,"Washington, DC",Female,US Naval Academy; US Naval Postgraduate School,Aerospace Engineering,Aeronautical Engineering,Captain,US Navy (Retired),1,306,0,0,STS-121 (Discovery),,
258,Donald R. Pettit,1996,16,The Sardines,Active,4/20/1955,"Silverton, OR",Male,Oregon State University; University of Arizona,Chemical Engineering,Chemical Engineering,,,3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)",,
259,John L. Phillips,1996,16,The Sardines,Retired,4/15/1951,"Ft. Belvoir, VA",Male,US Naval Academy; University of West Florida; University of California-Los Angeles,Mathematics; Russian,Aeronautical Systems; Geophysics & Space Physics,Captain,US Naval Reserves (Retired),3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)",,
260,Mark L. Polansky,1996,16,The Sardines,Retired,6/2/1956,"Paterson, NJ",Male,Purdue University,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,,,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)",,
261,Paul W. Richards,1996,16,The Sardines,Management,5/20/1964,"Scranton, PA",Male,Drexel University; University of Maryland,Mechanical Engineering,Mechanical Engineering,,,1,307,1,6,STS-102 (Discovery),,
262,Piers J. Sellers,1996,16,The Sardines,Deceased,4/11/1955,"Crowborough, England",Male,University of Edinburgh; Leeds University,Ecological Science,Biometeorology,,,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)",12/23/2016,
263,Heidemarie M. Stefanyshyn-Piper,1996,16,The Sardines,Retired,2/7/1963,"St. Paul, MN",Female,MIT,Mechanical Engineering,,Captain,US Navy,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)",,
264,Daniel M. Tani,1996,16,The Sardines,Retired,2/1/1961,"Ridley Park, PA",Male,MIT,Mechanical Engineering,Mechanical Engineering,,,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)",,
265,Rex J. Walheim,1996,16,The Sardines,Management,10/10/1962,"Redwood, CA",Male,University of California-Berkeley; University of Houston,Mechanical Engineering,Industrial Engineering,Colonel,US Air Force (Retired),3,872,5,36,"STS-110 (Atlantis), STS-122 (Atlantis), STS-135 (Atlantis)",,
266,Peggy A. Whitson,1996,16,The Sardines,Retired,2/9/1960,"Mt. Ayr, IA",Female,Iowa Wesleyan College; Rice University,Chemistry & Biology,Biochemistry,,,3,15960,10,60,"STS-111/113 (Endeavor), ISS-16 (Soyuz), ISS-50/51 (Soyuz)",,
267,Jeffrey N. Williams,1996,16,The Sardines,Active,1/18/1958,"Superior, WI",Male,US Military Academy; US Naval Postgraduate School; US Naval War College,Applied Science & Engineering,Aeronautical Engineering; National Security & Strategic Studies,Colonel,US Army (Retired),4,12818,5,32,"STS-101 (Atlantis), ISS-13 (Soyuz), ISS-21/22 (Soyuz), ISS-47/48 (Soyuz)",,
268,Stephanie D. Wilson,1996,16,The Sardines,Active,9/27/1966,"Boston, MA",Female,Harvard University; University of Texas,Engineering Science,Aerospace Engineering,,,3,1031,0,0,"STS-121 (Discovery), STS-120 (Discovery), STS-131 (Discovery)",,
269,Clayton C. Anderson,1998,17,The Penguins,Retired,2/23/1959,"Omaha, NE",Male,Hastings College; Iowa State University,Physics,Aerospace Engineering,,,2,4005,6,38,"STS-117/120 (Atlantis/Discovery), STS-131 (Discovery)",,
270,Lee J. Archambault,1998,17,The Penguins,Retired,8/25/1960,"Oak Park, IL",Male,University of Illinois-Urbana,Aeronautical & Astronautical Engineering,Aeronautical & Astronautical Engineering,Colonel,US Air Force,2,639,0,0,"STS-117 (Atlantis), STS-119 (Discovery)",,
271,Tracy E. Caldwell (Dyson),1998,17,The Penguins,Active,8/14/1969,"Arcadia, CA",Female,California State University-Fullerton; University of California-Davis,Chemistry,Physical Chemistry,,,2,4531,3,23,"STS-118 (Endeavor), ISS-23/24 (Soyuz)",,
272,Gregory E. Chamitoff,1998,17,The Penguins,Retired,8/6/1962,"Montreal, Canada",Male,California Polytechnic State University; California Institute of Technology; MIT,Electrical Engineering,Aeronautical Engineering; Aeronautics & Astronautics,,,2,4770,2,13,"STS-124/126 (Discovery/Endeavor), STS-134 (Endeavor)",,
273,Timothy J. Creamer,1998,17,The Penguins,Management,11/15/1959,"Ft. Huachuca, AZ",Male,Loyola College; MIT,Chemistry,Physics,Colonel,US Army (Retired),1,3917,0,0,ISS-22/23 (Soyuz),,
